date,leads,clicks,sales
2026-03-03T00:00:00Z,637,387,202
2026-03-04T00:00:00Z,1222,805,364
2026-03-05T00:00:00Z,1026,679,320
2026-03-06T00:00:00Z,1044,713,336
2026-03-07T00:00:00Z,1038,668,315
2026-03-08T00:00:00Z,1100,690,338
2026-03-09T00:00:00Z,1209,795,375
2026-03-10T00:00:00Z,1081,704,330
2026-03-11T00:00:00Z,1150,702,374
2026-03-12T00:00:00Z,1008,634,293
2026-03-13T00:00:00Z,973,642,278
2026-03-14T00:00:00Z,842,523,247
2026-03-15T00:00:00Z,969,597,284
2026-03-16T00:00:00Z,1166,701,368
2026-03-17T00:00:00Z,968,603,285
2026-03-18T00:00:00Z,889,594,274
2026-03-19T00:00:00Z,647,417,208
2026-03-20T00:00:00Z,655,428,202
2026-03-21T00:00:00Z,700,426,201
2026-03-22T00:00:00Z,894,533,274
2026-03-23T00:00:00Z,1033,613,286
2026-03-24T00:00:00Z,1192,696,321
2026-03-25T00:00:00Z,994,627,322
2026-03-26T00:00:00Z,737,457,219
2026-03-27T00:00:00Z,781,461,236
2026-03-28T00:00:00Z,729,461,220
2026-03-29T00:00:00Z,836,453,223
2026-03-30T00:00:00Z,1019,640,297
2026-03-31T00:00:00Z,883,536,275
2026-04-01T00:00:00Z,973,575,268
2026-04-02T00:00:00Z,701,419,204
2026-04-03T00:00:00Z,696,396,193
2026-04-04T00:00:00Z,548,298,154
2026-04-05T00:00:00Z,652,395,195
2026-04-06T00:00:00Z,684,398,178
2026-04-07T00:00:00Z,942,538,288
2026-04-08T00:00:00Z,843,475,247
2026-04-09T00:00:00Z,879,486,230
2026-04-10T00:00:00Z,834,448,211
2026-04-11T00:00:00Z,748,393,186
2026-04-12T00:00:00Z,864,485,227
2026-04-13T00:00:00Z,1079,595,298
